name,cbs_code,province,found,slug,url,final_url,title,status,reason,candidates_tried
Helmond,0794,Noord-Brabant,False,helmond,https://helmond.incijfers.nl/Dashboard,https://helmond.incijfers.nl/home?ReturnUrl=%2fDashboard,Home | Kennisagenda Helmond,200,not_dashboard,helmond
Heusden,0797,Noord-Brabant,True,heusden,https://heusden.incijfers.nl/Dashboard,https://heusden.incijfers.nl/Dashboard,Heusden in Cijfers - Heusden,200,ok,heusden
Hilvarenbeek,0798,Noord-Brabant,False,hilvarenbeek,https://hilvarenbeek.incijfers.nl/Dashboard,https://hilvarenbeek.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,hilvarenbeek
Laarbeek,1659,Noord-Brabant,False,laarbeek,https://laarbeek.incijfers.nl/Dashboard,https://laarbeek.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,laarbeek
Land van Cuijk,1982,Noord-Brabant,False,land,https://land.incijfers.nl/Dashboard,https://land.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,land-van-cuijk landvancuijk land
Loon op Zand,0809,Noord-Brabant,False,loon,https://loon.incijfers.nl/Dashboard,https://loon.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,loon-op-zand loonopzand loon
Maashorst,1991,Noord-Brabant,False,maashorst,https://maashorst.incijfers.nl/Dashboard,https://maashorst.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,maashorst
Meierijstad,1948,Noord-Brabant,False,meierijstad,https://meierijstad.incijfers.nl/Dashboard,https://meierijstad.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,meierijstad
Moerdijk,1709,Noord-Brabant,True,moerdijk,https://moerdijk.incijfers.nl/Dashboard,https://moerdijk.incijfers.nl/Dashboard,Moerdijk in Cijfers - Gemeente Moerdijk,200,ok,moerdijk
Nuenen c.a.,0820,Noord-Brabant,False,nuenen,https://nuenen.incijfers.nl/Dashboard,https://nuenen.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,nuenen-c-a nuenenca nuenen
Oirschot,0823,Noord-Brabant,False,oirschot,https://oirschot.incijfers.nl/Dashboard,https://oirschot.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,oirschot
Oisterwijk,0824,Noord-Brabant,False,oisterwijk,https://oisterwijk.incijfers.nl/Dashboard,https://oisterwijk.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,oisterwijk
Oosterhout,0826,Noord-Brabant,True,oosterhout,https://oosterhout.incijfers.nl/Dashboard,https://overbetuwe.incijfers.nl/dashboard/gebied-in-cijfers?regionlevel=kern_dorp&regioncode=1734_7,Overbetuwe in Cijfers - Gebied in cijfers,200,ok,oosterhout
Oss,0828,Noord-Brabant,True,oss,https://oss.incijfers.nl/Dashboard,https://oss.incijfers.nl/Dashboard,Oss in Cijfers - Gemeente Oss,200,ok,oss
Reusel-De Mierden,1667,Noord-Brabant,False,reuselmierden,https://reuselmierden.incijfers.nl/Dashboard,https://reuselmierden.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,reusel-de-mierden reuseldemierden reusel reusel-mierden reuselmierden
Roosendaal,1674,Noord-Brabant,False,roosendaal,https://roosendaal.incijfers.nl/Dashboard,https://roosendaal.incijfers.nl/home?ReturnUrl=%2fDashboard,Home | Roosendaal in Cijfers - Gemeente Roosendaal,200,not_dashboard,roosendaal
Rucphen,0840,Noord-Brabant,False,rucphen,https://rucphen.incijfers.nl/Dashboard,https://rucphen.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,rucphen
Sint-Michielsgestel,0845,Noord-Brabant,False,sintmichielsgestel,https://sintmichielsgestel.incijfers.nl/Dashboard,https://sintmichielsgestel.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,sint-michielsgestel sintmichielsgestel
Someren,0847,Noord-Brabant,False,someren,https://someren.incijfers.nl/Dashboard,https://someren.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,someren
Son en Breugel,0848,Noord-Brabant,False,sonenbreugel,https://sonenbreugel.incijfers.nl/Dashboard,https://sonenbreugel.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,son-en-breugel sonenbreugel
Steenbergen,0851,Noord-Brabant,False,steenbergen,https://steenbergen.incijfers.nl/Dashboard,https://steenbergen.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,steenbergen
Tilburg,0855,Noord-Brabant,True,tilburg,https://tilburg.incijfers.nl/Dashboard,https://tilburg.incijfers.nl/Dashboard,Tilburg in Cijfers - Gemeente Tilburg,200,ok,tilburg
Valkenswaard,0858,Noord-Brabant,False,valkenswaard,https://valkenswaard.incijfers.nl/Dashboard,https://valkenswaard.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,valkenswaard
Veldhoven,0861,Noord-Brabant,False,veldhoven,https://veldhoven.incijfers.nl/Dashboard,https://veldhoven.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,veldhoven
Vught,0865,Noord-Brabant,False,vught,https://vught.incijfers.nl/Dashboard,https://vught.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,vught
Waalre,0866,Noord-Brabant,False,waalre,https://waalre.incijfers.nl/Dashboard,https://waalre.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,waalre
Waalwijk,0867,Noord-Brabant,True,waalwijk,https://waalwijk.incijfers.nl/Dashboard,https://waalwijk.incijfers.nl/Dashboard,Waalwijk in Cijfers - Gemeente Waalwijk,200,ok,waalwijk
Woensdrecht,0873,Noord-Brabant,True,woensdrecht,https://woensdrecht.incijfers.nl/Dashboard,https://woensdrecht.incijfers.nl/Dashboard,Woensdrecht in Cijfers - Gemeente Woensdrecht,200,ok,woensdrecht
Zundert,0879,Noord-Brabant,False,zundert,https://zundert.incijfers.nl/Dashboard,https://zundert.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,zundert
